date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:50	501197/501197	---MCZ	200	added ('OK')	text/html	etag:W/%2260190073d5d9a90808074984b3f8c498%22	https://rebeccayrpark.wixsite.com/mysite	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite.html	(from )
15:48:51	404/404	---M--	200	added ('OK')	text/plain	date:Sat,%2009%20Sep%202023%2006:48:50%20GMT	https://rebeccayrpark.wixsite.com/robots.txt		(from )
15:48:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:51%20GMT	https://rebeccayrpark.wixsite.com/	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/index.html	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:52	508050/508050	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2006:48:52%20GMT	https://rebeccayrpark.wixsite.com/mysite/info	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/info.html	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:53	490891/490891	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2006:48:52%20GMT	https://rebeccayrpark.wixsite.com/mysite/about-me	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/about-me.html	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:54	482840/482840	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2006:48:53%20GMT	https://rebeccayrpark.wixsite.com/mysite/book-online-1	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/book-online-1.html	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:54	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:54%20GMT	https://rebeccayrpark.wixsite.com/sitemap.xml	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/sitemap.4.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:55	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:55%20GMT	https://rebeccayrpark.wixsite.com/feed.xml	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/feed.5.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:56%20GMT	https://rebeccayrpark.wixsite.com/${n.uri}	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/${n.6.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:57%20GMT	https://rebeccayrpark.wixsite.com/decodeURIComponent(e	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/decodeURIComponent(e.7.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
15:48:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:48:58%20GMT	https://rebeccayrpark.wixsite.com/mysite/robots.txt	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/robots.8.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
15:48:59	260/260	---M--	200	added ('OK')	text/xml	date:Sat,%2009%20Sep%202023%2006:48:59%20GMT	https://rebeccayrpark.wixsite.com/mysite/sitemap.xml	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/sitemap.xml	(from https://rebeccayrpark.wixsite.com/mysite/info)
15:49:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:49:00%20GMT	https://rebeccayrpark.wixsite.com/mysite/feed.xml	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/feed.a.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
15:49:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:49:01%20GMT	https://rebeccayrpark.wixsite.com/mysite/${n.uri}	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/${n.b.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
15:49:02	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2006:49:02%20GMT	https://rebeccayrpark.wixsite.com/mysite/decodeURIComponent(e	/Users/markhan/websites/royalflute_rbc/rebeccayrpark.wixsite.com/mysite/decodeURIComponent(e.c.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
